operator,parent,published_estimate,methods,min_redemption,first_redemption,repeat_redemption,terms_effective,source_url,access_date,record_type
Dorados,RAFFLEFY LIMITED,"VIP1-2: within 72 hours; VIP3: 48 hours; VIP4-5: 24 hours. These are tier processing targets, not delivery guarantees; rules allow up to 10 business days and verification delays.",Not publicly verified,100 redeemable SC under the general prize-redemption rule. Gift-card minimum not verified.,Verification required; rules allow up to 10 business days for payment processing and further verification delays.,"Processing targets depend on VIP tier; rules allow up to 10 business days, not a measured delivery time.",,https://dorados.com/en/help-centre/bonuses-and-promotions/is-there-a-welcome-offer-for-new-players,2026-09-10,published_terms
Zonko,Mamba Limited owns/operates the site; footer names Mamba Limited and Forever Winning LLC as joint service providers.,Not publicly verified,Not publicly verified,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,,https://www.zonko.com/geo-block,2026-09-10,published_terms
Chumba Casino,VGW Malta Limited operates the site; VGW Games Limited operates sweepstakes promotions and prizes.,Not publicly verified,"Cash prize, gift card; available cash methods depend on purchase and redemption history.",100 SC cash / 10 SC gift card.,Not publicly verified,Not publicly verified,,https://www.chumbacasino.com/geo-block,2026-09-10,published_terms
Chumba Casino,VGW Malta Limited operates the site; VGW Games Limited operates sweepstakes promotions and prizes.,Not publicly verified,"Cash prize, gift card; available cash methods depend on purchase and redemption history.",100 SC cash / 10 SC gift card.,Not publicly verified,Not publicly verified,,https://www.chumbacasino.com/,2026-09-10,published_terms
Chumba Casino,VGW Malta Limited operates the site; VGW Games Limited operates sweepstakes promotions and prizes.,Not publicly verified,"Cash prize, gift card; available cash methods depend on purchase and redemption history.",100 SC cash / 10 SC gift card.,Not publicly verified,Not publicly verified,,https://help.chumbacasino.com/article/What-you-need-to-know-to-redeem-your-prize,2026-09-10,published_terms
Pulsz,Not publicly confirmed,Not publicly verified,Bank transfer (Trustly or standard ACH) and gift cards described in help; current promotional scope unresolved,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,2026-09-01,https://www.pulsz.com/terms-of-use,2026-09-10,published_terms
Pulsz,Not publicly confirmed,Not publicly verified,Bank transfer (Trustly or standard ACH) and gift cards described in help; current promotional scope unresolved,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,2026-09-01,https://www.pulsz.com/,2026-09-10,published_terms
Pulsz,Not publicly confirmed,Not publicly verified,Bank transfer (Trustly or standard ACH) and gift cards described in help; current promotional scope unresolved,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,2026-09-01,https://support.pulsz.com/hc/en-us/articles/24820788909457-How-do-I-redeem-using-Online-Banking,2026-09-10,published_terms
Pulsz,Not publicly confirmed,Not publicly verified,Bank transfer (Trustly or standard ACH) and gift cards described in help; current promotional scope unresolved,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,2026-09-01,https://support.pulsz.com/hc/en-us/articles/24820902593169-How-do-I-redeem-via-Gift-Card,2026-09-10,published_terms
Stake.us,Not publicly confirmed,Not publicly verified,Cryptocurrency,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,,https://help.stake.us/en/articles/6453222-redeeming-rewards,2026-09-10,published_terms
Stake.us,Not publicly confirmed,Not publicly verified,Cryptocurrency,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,,https://help.stake.us/en/articles/6389246-sweep-coins-stake-cash,2026-09-10,published_terms
Stake.us,Not publicly confirmed,Not publicly verified,Cryptocurrency,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,,https://help.stake.us/en/articles/6465093-redemption-progress,2026-09-10,published_terms
Stake.us,Not publicly confirmed,Not publicly verified,Cryptocurrency,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,,https://stake.us/policies/terms,2026-09-10,published_terms
WOW Vegas,MW Services Limited and WOWCom Services Inc.,Not publicly verified,"Skrill, Trustly, MassPay, Prizeout",Cash: 50 SC. Gift cards: 20 SC.,Full verification required before redemption; timing not publicly verified.,Not publicly verified,,https://help.wowvegas.com/en/articles/10676733-sign-up-bonus-how-it-works,2026-09-10,published_terms
WOW Vegas,MW Services Limited and WOWCom Services Inc.,Not publicly verified,"Skrill, Trustly, MassPay, Prizeout",Cash: 50 SC. Gift cards: 20 SC.,Full verification required before redemption; timing not publicly verified.,Not publicly verified,,https://www.wowvegas.com/promo-code,2026-09-10,published_terms
WOW Vegas,MW Services Limited and WOWCom Services Inc.,Not publicly verified,"Skrill, Trustly, MassPay, Prizeout",Cash: 50 SC. Gift cards: 20 SC.,Full verification required before redemption; timing not publicly verified.,Not publicly verified,,https://help.wowvegas.com/en/articles/10676686-how-do-i-redeem,2026-09-10,published_terms
WOW Vegas,MW Services Limited and WOWCom Services Inc.,Not publicly verified,"Skrill, Trustly, MassPay, Prizeout",Cash: 50 SC. Gift cards: 20 SC.,Full verification required before redemption; timing not publicly verified.,Not publicly verified,,https://www.wowvegas.com/terms-and-conditions,2026-09-10,published_terms
WOW Vegas,MW Services Limited and WOWCom Services Inc.,Not publicly verified,"Skrill, Trustly, MassPay, Prizeout",Cash: 50 SC. Gift cards: 20 SC.,Full verification required before redemption; timing not publicly verified.,Not publicly verified,,https://www.wowvegas.com/sc-game-rules,2026-09-10,published_terms
McLuck,Not publicly confirmed,Not publicly verified,Not publicly verified,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,2026-07-15,https://www.mcluck.com/terms-of-service,2026-09-10,published_terms
McLuck,Not publicly confirmed,Not publicly verified,Not publicly verified,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,2026-07-15,https://www.mcluck.com/,2026-09-10,published_terms
McLuck,Not publicly confirmed,Not publicly verified,Not publicly verified,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,2026-07-15,https://support.mcluck.com/hc/en-us,2026-09-10,published_terms
McLuck,Not publicly confirmed,Not publicly verified,Not publicly verified,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,2026-07-15,https://support.mcluck.com/hc/en-us/articles/9182773849885-What-is-the-welcome-rewards-for-new-players,2026-09-10,published_terms
McLuck,Not publicly confirmed,Not publicly verified,Not publicly verified,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,2026-07-15,https://support.mcluck.com/hc/en-us/articles/38182149192221-Why-am-I-not-eligible-for-a-promotion,2026-09-10,published_terms
